Rounded_Latitude,Rounded_Longitude,Month_Segment,Count
40.5294,-74.1614,Jan-Feb,1
40.5295,-74.158,May-Jun,1
40.5296,-74.2323,Jan-Feb,9
40.5296,-74.2323,Mar-Apr,7
40.5296,-74.2323,May-Jun,6
40.5296,-74.2211,Jan-Feb,1
40.5296,-74.2211,Mar-Apr,1
40.5296,-74.2211,May-Jun,1
40.5296,-74.189,May-Jun,1
40.5296,-74.1626,Jan-Feb,1
40.5297,-74.2303,May-Jun,1
40.5297,-74.1575,Jan-Feb,1
40.5298,-74.1591,Mar-Apr,1
40.5299,-74.1961,Mar-Apr,1
40.5301,-74.2186,Jan-Feb,1
40.5301,-74.1915,Jan-Feb,1
40.5302,-74.2058,May-Jun,1
40.5302,-74.1648,Mar-Apr,2
40.5302,-74.1648,May-Jun,4
40.5303,-74.2206,Jan-Feb,2
40.5303,-74.2111,Mar-Apr,1
40.5303,-74.1911,Mar-Apr,1
40.5303,-74.1656,Mar-Apr,1
40.5304,-74.2399,Jan-Feb,1
40.5304,-74.2399,Mar-Apr,1
40.5304,-74.2399,May-Jun,1
40.5305,-74.1604,Jan-Feb,1
40.5306,-74.1945,Mar-Apr,1
40.5306,-74.1585,Jan-Feb,1
40.5308,-74.1634,Jan-Feb,1
40.5309,-74.1878,Mar-Apr,1
40.5309,-74.1878,May-Jun,1
40.5309,-74.1699,Mar-Apr,1
40.531,-74.2224,May-Jun,1
40.531,-74.2206,Jan-Feb,1
40.531,-74.2206,May-Jun,1
40.5314,-74.2178,Jan-Feb,2
40.5314,-74.2178,Mar-Apr,4
40.5314,-74.2028,May-Jun,1
40.5314,-74.2015,Mar-Apr,1
40.5314,-74.1639,May-Jun,1
40.5315,-74.1915,Mar-Apr,1
40.5316,-74.2063,Mar-Apr,1
40.5316,-74.1615,May-Jun,1
40.5317,-74.2222,Jan-Feb,1
40.5317,-74.2222,May-Jun,1
40.5317,-74.2195,Jan-Feb,1
40.5317,-74.2195,May-Jun,1
40.5317,-74.1921,Jan-Feb,1
40.5317,-74.1921,Mar-Apr,1
40.5317,-74.1688,Jan-Feb,1
40.5319,-74.1917,Jan-Feb,1
40.5319,-74.1917,Mar-Apr,1
40.532,-74.1947,Jan-Feb,1
40.5321,-74.2231,Jan-Feb,1
40.5321,-74.2231,Mar-Apr,1
40.5321,-74.2226,May-Jun,1
40.5321,-74.196,May-Jun,1
40.5321,-74.156,Jan-Feb,1
40.5322,-74.162,May-Jun,1
40.5323,-74.2221,Jan-Feb,6
40.5323,-74.2221,Mar-Apr,4
40.5323,-74.1899,Jan-Feb,2
40.5323,-74.1889,Mar-Apr,1
40.5327,-74.1963,May-Jun,1
40.5327,-74.1937,Mar-Apr,1
40.5327,-74.1571,Mar-Apr,1
40.5328,-74.2226,Jan-Feb,1
40.5328,-74.1922,Jan-Feb,1
40.5328,-74.1922,Mar-Apr,2
40.5328,-74.1922,May-Jun,2
40.5329,-74.1596,Jan-Feb,1
40.5329,-74.1596,Nov-Dec,1
40.533,-74.1531,Mar-Apr,1
40.533,-74.1531,May-Jun,1
40.5331,-74.1895,Mar-Apr,3
40.5332,-74.2376,May-Jun,1
40.5332,-74.1745,Jan-Feb,1
40.5333,-74.2055,Mar-Apr,1
40.5334,-74.1873,Jan-Feb,1
40.5334,-74.1873,Mar-Apr,1
40.5334,-74.1873,May-Jun,2
40.5334,-74.1703,May-Jun,1
40.5334,-74.1548,May-Jun,1
40.5335,-74.1513,Mar-Apr,1
40.5336,-74.234,May-Jun,2
40.5338,-74.1646,Mar-Apr,1
40.534,-74.2058,Jan-Feb,1
40.534,-74.2058,May-Jun,3
40.534,-74.1847,Jan-Feb,1
40.534,-74.1847,Mar-Apr,2
40.5341,-74.1998,May-Jun,1
40.5342,-74.2025,Nov-Dec,1
40.5342,-74.1859,Mar-Apr,1
40.5343,-74.193,Jan-Feb,1
40.5343,-74.154,Jan-Feb,2
40.5343,-74.154,May-Jun,2
40.5344,-74.1538,May-Jun,1
40.5344,-74.1502,May-Jun,1
40.5345,-74.1986,Mar-Apr,1
40.5345,-74.1589,May-Jun,2
40.5347,-74.2248,May-Jun,1
40.5347,-74.217,Mar-Apr,1
40.5347,-74.206,May-Jun,1
40.5347,-74.1709,Mar-Apr,2
40.5347,-74.1535,May-Jun,1
40.5348,-74.2028,May-Jun,1
40.5349,-74.2079,May-Jun,2
40.5352,-74.2192,Jan-Feb,2
40.5352,-74.2153,Jul-Aug,1
40.5352,-74.2153,May-Jun,1
40.5353,-74.151,Jan-Feb,1
40.5353,-74.151,Mar-Apr,1
40.5354,-74.2178,Mar-Apr,1
40.5354,-74.2178,May-Jun,2
40.5354,-74.1543,Jan-Feb,1
40.5354,-74.1543,Mar-Apr,3
40.5354,-74.1543,May-Jun,1
40.5354,-74.1543,Nov-Dec,1
40.5355,-74.1834,May-Jun,1
40.5355,-74.1789,Mar-Apr,1
40.5356,-74.2364,May-Jun,1
40.5356,-74.2222,May-Jun,1
40.5356,-74.1579,Jan-Feb,1
40.5356,-74.1579,May-Jun,1
40.5357,-74.1783,Mar-Apr,1
40.5357,-74.1524,Mar-Apr,1
40.5357,-74.1504,Jan-Feb,1
40.5357,-74.1504,Jul-Aug,1
40.5358,-74.1938,Jan-Feb,3
40.536,-74.2394,May-Jun,1
40.5361,-74.2225,Nov-Dec,1
40.5361,-74.2107,Jan-Feb,1
40.5361,-74.2107,May-Jun,1
40.5361,-74.1773,Mar-Apr,2
40.5362,-74.198,Jan-Feb,1
40.5362,-74.1793,May-Jun,1
40.5362,-74.1559,Jan-Feb,1
40.5362,-74.1559,Mar-Apr,1
40.5363,-74.2232,Jan-Feb,1
40.5363,-74.2232,Mar-Apr,1
40.5363,-74.2232,May-Jun,1
40.5363,-74.1653,Jan-Feb,1
40.5365,-74.1813,May-Jun,1
40.5366,-74.2188,Jan-Feb,1
40.5366,-74.1824,May-Jun,1
40.5367,-74.217,Jan-Feb,1
40.5367,-74.1604,Mar-Apr,1
40.5367,-74.1604,May-Jun,1
40.5368,-74.2219,Jan-Feb,2
40.5368,-74.2219,Mar-Apr,1
40.5368,-74.2124,Mar-Apr,1
40.5368,-74.2124,May-Jun,1
40.5368,-74.1983,Jan-Feb,1
40.5368,-74.1969,May-Jun,1
40.5368,-74.1668,Mar-Apr,2
40.5368,-74.1668,May-Jun,1
40.5369,-74.2374,Jan-Feb,2
40.5369,-74.2374,May-Jun,1
40.5369,-74.214,May-Jun,4
40.537,-74.1736,May-Jun,1
40.537,-74.1488,Jan-Feb,1
40.537,-74.1488,May-Jun,1
40.5371,-74.2185,Jan-Feb,1
40.5371,-74.2185,Mar-Apr,1
40.5372,-74.2306,Jan-Feb,1
40.5372,-74.2238,Mar-Apr,1
40.5372,-74.2026,Mar-Apr,1
40.5372,-74.1777,Jan-Feb,1
40.5372,-74.1506,Jan-Feb,1
40.5373,-74.1505,Jan-Feb,1
40.5373,-74.1505,May-Jun,1
40.5373,-74.1484,Jul-Aug,1
40.5374,-74.2179,Jan-Feb,1
40.5374,-74.2071,Mar-Apr,2
40.5374,-74.2071,May-Jun,1
40.5374,-74.1959,May-Jun,1
40.5374,-74.1559,Sep-Oct,1
40.5375,-74.2014,Mar-Apr,1
40.5375,-74.1932,Mar-Apr,2
40.5375,-74.1906,May-Jun,1
40.5375,-74.1443,May-Jun,1
40.5377,-74.2336,Mar-Apr,1
40.5377,-74.2184,May-Jun,1
40.5377,-74.15,Jan-Feb,1
40.5378,-74.1895,May-Jun,1
40.5379,-74.2125,Jan-Feb,1
40.5379,-74.1845,Jan-Feb,1
40.5379,-74.1845,Mar-Apr,1
40.5379,-74.1553,May-Jun,1
40.5379,-74.1553,Nov-Dec,1
40.5379,-74.1498,Jan-Feb,1
40.538,-74.2184,Mar-Apr,1
40.538,-74.2165,Jan-Feb,2
40.538,-74.2165,Mar-Apr,3
40.538,-74.2165,May-Jun,2
40.538,-74.2132,Nov-Dec,1
40.5381,-74.212,Mar-Apr,2
40.5381,-74.2074,Mar-Apr,1
40.5381,-74.1965,Jan-Feb,1
40.5382,-74.2058,Jan-Feb,2
40.5382,-74.2016,Jul-Aug,1
40.5382,-74.2016,Mar-Apr,4
40.5382,-74.199,Jan-Feb,1
40.5382,-74.199,May-Jun,1
40.5382,-74.1846,May-Jun,1
40.5382,-74.1817,Jan-Feb,3
40.5382,-74.147,Jan-Feb,2
40.5383,-74.1744,Mar-Apr,1
40.5384,-74.2374,Mar-Apr,2
40.5384,-74.2123,May-Jun,1
40.5384,-74.1547,Mar-Apr,1
40.5384,-74.1431,May-Jun,1
40.5385,-74.206,Jan-Feb,1
40.5385,-74.1492,Jan-Feb,1
40.5385,-74.1492,May-Jun,1
40.5386,-74.2385,Nov-Dec,1
40.5386,-74.2231,Mar-Apr,1
40.5386,-74.1681,Jan-Feb,1
40.5386,-74.1681,Mar-Apr,1
40.5386,-74.1681,May-Jun,1
40.5387,-74.2217,Mar-Apr,1
40.5387,-74.2217,May-Jun,1
40.5387,-74.1888,Jan-Feb,1
40.5388,-74.2374,Jan-Feb,1
40.5388,-74.2076,Jan-Feb,1
40.5388,-74.1583,Mar-Apr,2
40.5388,-74.154,May-Jun,1
40.5389,-74.2019,May-Jun,2
40.5389,-74.1993,Mar-Apr,1
40.539,-74.2106,Mar-Apr,4
40.539,-74.1764,Mar-Apr,1
40.539,-74.1488,Jan-Feb,1
40.539,-74.1488,May-Jun,1
40.5391,-74.185,Jan-Feb,1
40.5391,-74.1729,May-Jun,1
40.5391,-74.1603,Mar-Apr,2
40.5392,-74.2008,Jan-Feb,1
40.5392,-74.1556,Jan-Feb,1
40.5392,-74.1533,May-Jun,1
40.5393,-74.2208,Mar-Apr,1
40.5393,-74.1451,Mar-Apr,2
40.5394,-74.2176,Jan-Feb,1
40.5394,-74.1784,Mar-Apr,3
40.5394,-74.1784,May-Jun,1
40.5395,-74.1969,May-Jun,1
40.5395,-74.1773,Mar-Apr,1
40.5396,-74.205,Mar-Apr,1
40.5396,-74.1912,Mar-Apr,1
40.5396,-74.1885,May-Jun,1
40.5396,-74.1594,May-Jun,2
40.5396,-74.1582,Jan-Feb,1
40.5396,-74.1582,May-Jun,1
40.5397,-74.2158,Jan-Feb,1
40.5397,-74.2108,Jan-Feb,1
40.5398,-74.2144,May-Jun,1
40.5398,-74.1772,May-Jun,1
40.5398,-74.1435,May-Jun,1
40.5399,-74.1828,Jan-Feb,1
40.5399,-74.1503,Mar-Apr,1
40.54,-74.2196,Jan-Feb,1
40.5401,-74.169,Jan-Feb,2
40.5402,-74.2376,Jan-Feb,1
40.5402,-74.2376,Mar-Apr,1
40.5402,-74.2025,Mar-Apr,1
40.5402,-74.1945,Jan-Feb,1
40.5402,-74.1945,May-Jun,1
40.5403,-74.1901,Jan-Feb,1
40.5404,-74.2162,May-Jun,1
40.5404,-74.1488,Jan-Feb,1
40.5405,-74.1811,Mar-Apr,1
40.5405,-74.1773,May-Jun,1
40.5405,-74.1435,Mar-Apr,2
40.5406,-74.1766,Jan-Feb,2
40.5406,-74.1766,Mar-Apr,2
40.5406,-74.1766,May-Jun,2
40.5406,-74.1598,Mar-Apr,1
40.5406,-74.1475,Jan-Feb,2
40.5406,-74.1475,Mar-Apr,8
40.5406,-74.1475,May-Jun,5
40.5406,-74.1475,Nov-Dec,1
40.5407,-74.1728,May-Jun,1
40.5408,-74.2158,Mar-Apr,1
40.5408,-74.1976,May-Jun,1
40.5409,-74.1934,Jan-Feb,1
40.5409,-74.1919,Mar-Apr,2
40.5409,-74.1919,May-Jun,1
40.5409,-74.1819,Jan-Feb,1
40.5409,-74.1819,May-Jun,2
40.5409,-74.1779,May-Jun,1
40.5409,-74.156,May-Jun,2
40.541,-74.2212,Jan-Feb,1
40.541,-74.2028,Mar-Apr,1
40.541,-74.2028,May-Jun,1
40.541,-74.1458,Jan-Feb,1
40.5412,-74.1609,Nov-Dec,1
40.5413,-74.1849,Jan-Feb,1
40.5413,-74.1553,Jan-Feb,1
40.5414,-74.2121,Jan-Feb,2
40.5414,-74.2121,May-Jun,2
40.5414,-74.1543,Jan-Feb,1
40.5414,-74.1537,May-Jun,1
40.5415,-74.2214,May-Jun,1
40.5415,-74.2179,Mar-Apr,1
40.5415,-74.2179,May-Jun,2
40.5415,-74.1951,Jan-Feb,1
40.5415,-74.1625,Mar-Apr,1
40.5415,-74.1625,May-Jun,2
40.5416,-74.2031,May-Jun,2
40.5416,-74.1836,Mar-Apr,1
40.5416,-74.1836,May-Jun,1
40.5416,-74.1781,Mar-Apr,1
40.5416,-74.1602,Mar-Apr,1
40.5416,-74.1602,Sep-Oct,1
40.5417,-74.208,Mar-Apr,1
40.5417,-74.208,May-Jun,1
40.5417,-74.2075,Jan-Feb,1
40.5417,-74.2075,May-Jun,1
40.5417,-74.1972,Jan-Feb,1
40.5417,-74.1638,May-Jun,1
40.5417,-74.1465,Mar-Apr,1
40.5417,-74.1465,May-Jun,1
40.5418,-74.218,Mar-Apr,1
40.5418,-74.1755,Jul-Aug,1
40.5418,-74.1755,Mar-Apr,1
40.5418,-74.1755,Nov-Dec,1
40.5419,-74.2211,Jan-Feb,1
40.5419,-74.202,May-Jun,1
40.542,-74.1856,May-Jun,2
40.5421,-74.1989,Jan-Feb,1
40.5421,-74.1774,Mar-Apr,2
40.5421,-74.1774,May-Jun,1
40.5421,-74.1631,Jan-Feb,2
40.5421,-74.15,Mar-Apr,1
40.5422,-74.2203,May-Jun,1
40.5422,-74.1954,Jan-Feb,1
40.5422,-74.1456,Sep-Oct,1
40.5423,-74.2137,Jan-Feb,2
40.5423,-74.1552,Mar-Apr,2
40.5423,-74.1552,May-Jun,1
40.5423,-74.1438,May-Jun,1
40.5424,-74.184,Jan-Feb,1
40.5424,-74.1721,Jan-Feb,1
40.5424,-74.1651,Mar-Apr,1
40.5424,-74.1651,May-Jun,1
40.5424,-74.1459,May-Jun,1
40.5425,-74.197,May-Jun,1
40.5425,-74.1507,Mar-Apr,1
40.5426,-74.2183,Mar-Apr,1
40.5427,-74.2084,Jan-Feb,1
40.5427,-74.2084,Mar-Apr,6
40.5427,-74.2084,May-Jun,1
40.5427,-74.1765,Mar-Apr,1
